sex,length,diameter,weight,age
M,126,97,255.6,9.5
F,126,99,261.5,12.5
M,126,96,235.7,9.5
M,127,98,275,12.5
M,127,105,281.3,11.5
M,128,101,280.5,11.5
F,128,100,303.5,12.5
F,128,100,278.8,11.5
F,129,100,244.1,11.5
M,129,104,327.2,12.5
M,129,104,312.2,9.5
F,129,101,286.5,9.5
M,129,100,267.7,12.5
F,129,100,249.3,11.5
F,129,103,242.4,11.5
M,130,99,260.8,10.5
M,130,104,335.7,12.5
M,130,105,324.4,11.5
F,131,92,298.8,10.5
F,131,102,330.5,11.5
F,132,101,305.6,12.5
M,132,107,318.1,10.5
M,132,99,325.5,11.5
F,132,95,273.9,7.5
M,134,105,321.7,12.5
F,135,114,317.4,11.5
F,135,113,367.5,13.5
M,136,107,321.4,13.5
M,138,105,340.1,9.5
M,138,101,374.4,11.5
F,139,107,367.7,11.5
F,141,107,337,13.5
M,142,113,439.6,12.5
M,143,113,390.5,11.5
F,143,105,312,12.5
F,147,120,511,12.5
M,153,120,460.4,13.5
I,37,26,5.8,5.5
I,39,30,7.5,4.5
I,39,27,6.5,5.5
I,40,31,8.7,5.5
I,45,33,11.8,5.5
I,49,36,14.2,5.5
I,50,36,13.7,6.5
I,53,39,16.8,8.5
I,55,39,21.2,7.5
I,56,42,21.5,6.5
I,57,44,19.2,6.5
I,60,44,25.1,7.5
I,63,47,30.2,7.5
I,64,45,28.3,7.5
I,68,53,40.3,6.5
I,74,56,44.2,7.5
I,75,56,46.9,7.5
I,75,55,46.5,7.5
I,77,58,49.7,8.5
I,80,64,69.6,7.5
I,81,60,64,8.5
I,82,60,56.4,8.5
I,82,65,64.9,7.5
I,84,60,63.2,8.5
I,84,64,72.5,8.5
I,84,62,55.8,7.5
I,85,65,73.7,8.5
M,86,67,79.4,8.5
I,87,66,82.6,7.5
I,87,69,83.6,8.5
I,88,66,74.1,8.5
I,89,69,81.8,8.5
I,89,68,86.8,8.5
I,89,67,82.2,9.5
I,90,73,92.4,9.5
I,90,68,98.5,7.5
I,90,66,74.3,8.5
I,90,66,82.2,7.5
I,90,66,73.7,7.5
I,92,70,83.1,8.5
M,94,72,108.8,8.5
I,94,76,96.9,7.5
I,95,70,91.3,7.5
I,95,70,90.9,8.5
I,96,76,124.9,9.5
M,98,93,104.5,8.5
I,100,75,109.9,8.5
I,100,75,108.4,10.5
I,100,76,103.8,9.5
M,100,78,104.3,7.5
F,101,78,108.9,8.5
I,102,81,135.9,9.5
F,102,80,109,7.5
I,102,80,111.5,10.5
I,102,76,103.1,9.5
I,103,77,122.3,9.5
M,104,80,155.3,10.5
I,104,76,107.9,9.5
I,104,76,110.9,9.5
F,104,92,203.8,8.5
I,105,80,129.1,9.5
I,105,80,120.2,10.5
M,105,81,151.1,10.5
I,105,79,121.6,9.5
I,106,80,123.4,9.5
I,107,78,119.8,10.5
I,108,84,133.3,11.5
M,109,78,156.7,8.5
M,109,82,158.6,10.5
M,109,83,164,10.5
F,110,83,162.9,9.5
F,110,86,168,9.5
M,110,85,166.3,11.5
M,112,86,179.9,10.5
M,112,89,179.3,9.5
F,112,88,128.1,9.5
M,112,83,170.4,9.5
M,113,91,191.9,10.5
M,113,87,198,9.5
F,113,90,201.9,10.5
M,114,92,207.5,10.5
F,114,89,175.5,9.5
I,114,88,151,9.5
F,115,92,198.9,8.5
F,115,90,213.6,11.5
M,115,87,169.1,10.5
F,115,94,173.8,10.5
M,115,91,181.4,10.5
I,115,87,161,11.5
M,115,89,204.5,10.5
M,115,89,169.4,10.5
M,116,91,222.8,9.5
M,116,91,371.8,10.5
M,116,89,162.8,10.5
M,116,90,192.3,10.5
M,116,90,200.5,9.5
F,116,90,186,10.5
M,117,92,186.7,10.5
M,117,93,191.1,8.5
M,118,94,199.1,9.5
F,120,95,205.3,10.5
M,120,91,238.3,9.5
F,120,93,220.5,9.5
M,120,93,203.3,11.5
F,121,94,235.5,10.5
M,121,95,223.5,10.5
M,121,96,236.7,11.5
F,121,95,211.2,10.5
M,122,97,202.9,9.5
M,122,97,266.1,10.5
M,122,94,210.4,10.5
M,123,92,211.3,11.5
F,123,93,184.6,10.5
F,123,95,205.4,10.5
M,124,94,203.9,9.5
M,124,90,171.6,9.5
F,124,96,222.5,9.5
F,125,97,274.9,10.5
M,125,96,241.3,9.5
M,126,94,226.5,9.5
M,126,100,252.9,11.5
F,127,99,231.3,10.5
M,128,103,273.8,11.5
M,129,106,278,11.5
F,129,96,226.9,11.5
F,130,100,292.8,10.5
M,130,100,240.4,12.5
M,131,103,262,12.5
F,131,102,283,11.5
F,132,106,269.2,12.5
M,133,105,272.6,9.5
I,133,100,259.5,10.5
F,134,101,272.9,10.5
F,137,108,340.5,15.5
M,137,104,303.8,11.5
F,138,108,290.8,10.5
M,138,106,316.6,13.5
F,138,106,310.7,10.5
M,139,112,348,11.5
M,140,113,350.2,10.5
M,140,115,454.6,13.5
F,140,105,329.3,10.5
F,141,110,243.8,10.5
F,142,112,330.4,12.5
M,143,110,400.9,13.5
M,143,107,335.1,11.5
F,144,116,420.6,11.5
F,144,110,399.3,11.5
M,144,113,237.4,9.5
M,145,101,395.6,13.5
F,146,115,375.9,13.5
M,147,117,424.8,12.5
M,149,113,386.2,12.5
F,150,114,447.2,12.5
F,151,125,501,12.5
M,151,116,401.3,11.5
F,156,126,531.4,12.5
I,37,75,92.9,7.5
I,49,41,15.3,5.5
I,50,37,13.7,6.5
I,50,38,16.7,6.5
I,55,39,22.5,7.5
I,61,43,21.5,6.5
I,62,45,21.1,6.5
I,63,46,27.5,6.5
I,63,46,22.9,6.5
I,65,45,27.8,7.5
I,66,50,41.7,8.5
I,66,41,31.9,6.5
I,67,49,40.3,8.5
I,68,50,35.8,7.5
I,69,51,38.9,7.5
I,69,51,40.1,6.5
I,70,54,43,7.5
I,70,51,35.7,9.5
I,72,54,39.2,5.5
I,73,54,37.5,7.5
I,73,54,39.2,8.5
I,73,53,42.6,8.5
I,74,58,48.9,8.5
I,74,56,43.4,7.5
I,75,58,42.6,6.5
I,75,58,47.7,8.5
I,75,55,43.6,7.5
I,75,55,49.3,7.5
I,75,56,40.5,9.5
I,75,54,43.6,8.5
I,76,55,51.2,7.5
I,76,54,42.1,9.5
I,77,58,52.3,10.5
I,77,56,43.5,9.5
I,77,60,60.4,8.5
I,77,56,45.6,6.5
I,78,60,65.3,8.5
I,79,61,56.8,9.5
I,79,59,54.5,9.5
I,79,54,59.7,6.5
I,80,58,53.5,6.5
I,81,57,52.9,7.5
I,82,67,66,8.5
I,84,61,65.6,7.5
I,85,65,66.7,8.5
I,85,64,61.1,8.5
I,85,62,60.2,8.5
I,86,68,85.6,9.5
I,86,63,75.6,9.5
I,87,63,73.7,8.5
I,88,68,87.6,10.5
I,90,66,89.6,10.5
I,91,69,80.1,9.5
F,91,73,86.1,9.5
I,91,66,74.4,9.5
I,92,72,93.2,8.5
I,92,70,74.1,10.5
F,92,73,95.7,9.5
I,93,68,69.2,12.5
I,94,73,82.2,9.5
I,94,71,96,9.5
I,94,71,78.6,9.5
I,95,71,100.7,9.5
I,95,76,88.2,9.5
I,95,72,98.4,9.5
I,96,74,108.7,10.5
I,96,71,94.5,9.5
I,96,73,92.2,9.5
I,99,71,99.3,9.5
I,99,76,102.5,8.5
M,99,79,110.6,9.5
I,100,76,118.8,10.5
M,100,84,135.3,10.5
I,100,75,115.9,10.5
I,100,82,132.3,10.5
I,100,75,113.9,8.5
I,100,79,124.3,10.5
I,101,81,120.3,9.5
I,101,76,118.8,8.5
I,101,79,110.2,9.5
I,103,76,125,8.5
I,103,84,142.2,14.5
I,103,80,139.3,10.5
I,104,80,116.5,11.5
I,104,79,132.6,10.5
I,105,80,139.3,10.5
M,105,84,168.4,10.5
I,106,83,138.8,10.5
I,106,84,162,11.5
I,106,83,114.9,10.5
I,106,85,153.5,10.5
I,107,80,120.5,10.5
I,107,83,115.3,9.5
F,107,82,142.9,10.5
M,107,87,143.4,10.5
F,108,84,173.1,11.5
I,108,84,145.3,10.5
I,109,87,154.3,9.5
F,109,89,160,10.5
I,109,86,145.7,11.5
I,109,81,118.9,9.5
I,110,86,157.9,12.5
F,110,81,130.2,10.5
M,110,86,174.9,10.5
I,110,87,150.7,11.5
I,110,85,146.1,10.5
M,111,88,174.1,10.5
I,111,86,147.9,11.5
I,111,86,153.3,10.5
I,111,85,158.1,10.5
I,112,85,164.1,10.5
I,112,85,137.6,10.5
F,112,89,244.8,11.5
I,112,91,194.8,10.5
I,113,88,174.7,12.5
F,113,90,169.9,9.5
M,113,89,159.2,9.5
M,113,78,148.8,12.5
I,114,90,150.2,11.5
I,114,90,158.8,9.5
F,114,92,195.9,10.5
M,114,87,174.6,11.5
I,114,88,153.3,11.5
M,114,87,179.3,10.5
F,115,84,171.4,11.5
F,115,96,215.6,10.5
M,115,92,178.4,11.5
M,116,92,287.9,11.5
M,116,91,159.1,11.5
F,116,89,171.6,9.5
M,117,93,182.9,10.5
M,117,98,234.2,11.5
I,117,95,210.1,11.5
M,117,92,222.7,11.5
M,117,94,281.8,11.5
M,117,95,213,11.5
M,117,90,159.9,9.5
I,118,89,154.3,10.5
M,118,94,237.4,10.5
M,118,91,177.1,11.5
F,119,93,196,11.5
F,119,93,205.2,13.5
M,120,95,226.3,11.5
M,120,96,202.8,12.5
I,120,95,224,11.5
F,120,93,208,12.5
F,120,91,177.9,11.5
M,120,92,191.9,12.5
I,121,97,247.6,12.5
M,121,98,195.1,11.5
I,121,87,180.5,12.5
F,121,95,215.2,10.5
F,121,94,216.7,13.5
M,122,90,174.2,11.5
M,122,96,248.8,13.5
M,122,95,205.3,11.5
I,122,93,192.1,10.5
M,122,96,227.4,11.5
M,122,92,200,11.5
F,123,95,200.8,11.5
M,123,94,225.6,11.5
M,123,100,210.8,11.5
F,123,95,204.6,13.5
M,123,95,225.8,11.5
M,123,96,223.6,10.5
F,123,95,223,11.5
M,124,102,256.3,11.5
M,124,99,251.1,13.5
F,124,100,258.6,11.5
F,124,95,225.9,11.5
M,125,91,216.4,10.5
F,125,101,230,12.5
F,125,103,252.8,10.5
F,125,96,240.7,13.5
F,126,97,264.1,10.5
I,126,101,254.4,12.5
M,126,97,212.4,13.5
I,126,95,212.1,11.5
M,126,99,218.6,13.5
M,127,98,220.2,11.5
F,127,100,291.9,10.5
F,127,99,242.2,10.5
M,127,95,238.7,11.5
M,127,102,197.2,11.5
M,128,113,304.2,16.5
M,128,105,262.7,11.5
M,129,102,236.7,12.5
M,129,100,280.2,11.5
M,129,105,301.5,12.5
F,130,101,232,12.5
F,130,118,332.4,12.5
M,130,105,307.3,12.5
M,130,102,308.4,10.5
F,130,102,313.4,11.5
F,131,105,271.9,11.5
M,131,107,328.9,14.5
F,131,104,290.9,11.5
M,131,98,271.7,11.5
F,132,99,309.6,11.5
F,132,103,267.4,11.5
F,133,106,298.2,11.5
F,134,106,312.3,12.5
F,134,101,202.9,11.5
M,135,109,347.5,14.5
M,137,109,358.5,10.5
F,139,113,352.7,12.5
F,140,109,311.2,13.5
M,141,113,442,11.5
M,141,111,428.2,12.5
F,141,114,306.9,13.5
F,142,110,322.8,12.5
F,144,115,386.7,14.5
M,144,115,434.6,13.5
F,145,120,347.4,12.5
F,146,116,347.5,12.5
F,147,113,425.5,13.5
F,149,114,450,10.5
F,150,122,501.7,15.5
F,163,130,451,15.5
I,28,21,2.8,4.5
I,46,33,10.3,5.5
I,73,53,44.3,8.5
I,73,51,39.7,6.5
I,74,54,46.4,7.5
I,75,56,63.1,8.5
I,77,60,49.4,6.5
I,79,59,60.5,6.5
I,80,58,65.8,7.5
I,80,60,56.3,8.5
I,81,62,68.5,9.5
I,81,58,56.5,8.5
I,81,60,60.8,7.5
I,82,64,58.1,6.5
M,83,63,77.9,10.5
I,85,68,77.8,7.5
I,86,68,88.1,7.5
I,88,68,73.8,6.5
M,88,64,91.3,9.5
I,88,73,89.3,10.5
M,90,67,89.5,7.5
I,91,67,100.2,8.5
I,92,71,87.2,9.5
I,94,69,92.3,10.5
I,94,70,86.3,7.5
I,94,71,73.7,7.5
M,95,74,129.8,9.5
I,95,73,91.8,8.5
F,95,73,113.2,8.5
I,96,72,108.4,8.5
I,97,76,94.5,7.5
M,97,78,128.7,9.5
M,97,74,105.2,7.5
F,99,76,114.6,8.5
M,101,77,110.5,10.5
F,101,76,137.1,10.5
I,103,79,111.2,9.5
M,103,85,187.3,9.5
I,103,80,112.5,8.5
M,104,80,111.8,9.5
M,105,80,144.1,9.5
I,106,86,140.9,10.5
M,106,80,151.5,9.5
F,109,82,148.1,10.5
F,110,86,168,9.5
M,110,85,158.6,10.5
F,112,86,174.9,9.5
F,112,87,174.3,10.5
M,114,89,197.5,9.5
M,115,93,216,10.5
M,115,92,183.1,9.5
F,116,92,233,10.5
F,116,87,190.6,10.5
M,117,91,181.2,9.5
M,118,88,174.5,9.5
F,118,93,230.2,10.5
F,118,92,198.1,9.5
F,119,91,208,10.5
M,120,91,189,9.5
M,120,93,251.8,10.5
F,121,97,190.3,12.5
F,121,97,240.2,10.5
F,121,103,257.8,10.5
F,122,97,220.1,12.5
I,123,95,168.5,9.5
M,124,97,209.8,11.5
F,124,87,202.4,9.5
M,124,96,214.5,10.5
M,125,104,282.1,11.5
M,125,94,227.2,12.5
M,126,94,220.1,10.5
F,126,100,222.1,11.5
M,126,91,226.3,10.5
M,126,96,254.2,12.5
F,126,98,267.2,11.5
F,127,101,226.9,11.5
M,127,102,261.6,9.5
F,128,103,306.7,10.5
F,129,103,309.2,11.5
M,129,102,307.8,12.5
F,129,101,263.6,12.5
F,130,109,304.9,11.5
M,130,103,293.2,11.5
F,130,100,276.5,10.5
M,130,97,235,9.5
F,131,108,311.1,12.5
M,131,102,356.7,12.5
M,132,101,274.8,11.5
F,133,103,277.8,11.5
M,134,109,340.5,12.5
M,134,102,305.3,11.5
M,134,100,303.8,11.5
F,136,100,348.2,13.5
M,136,103,322.3,12.5
M,138,105,356.5,13.5
F,140,110,336.8,12.5
M,140,111,371.6,12.5
M,141,112,335,11.5
M,144,113,421.1,13.5
M,145,115,442,14.5
M,148,114,374.5,11.5
M,150,110,378.6,12.5
I,42,34,9.5,6.5
I,57,42,20.2,6.5
I,59,43,24.2,7.5
I,60,46,23.4,7.5
I,61,45,29.3,7.5
I,67,51,33.6,6.5
I,70,52,36,6.5
I,71,54,35.5,7.5
I,71,52,39.7,8.5
I,72,54,40,9.5
I,72,55,44.1,8.5
I,72,53,36.9,8.5
I,73,54,44.5,8.5
I,74,54,43.5,7.5
I,75,56,43.3,8.5
I,76,57,48.6,8.5
I,76,58,47.4,7.5
I,77,58,47.3,9.5
I,77,56,51.4,8.5
I,77,60,61.6,9.5
I,78,60,50.4,8.5
I,78,57,56.2,8.5
I,78,58,44.5,8.5
I,82,60,60.8,9.5
I,82,60,56,9.5
I,83,65,62.6,8.5
I,85,65,63.4,9.5
I,85,63,60.6,8.5
I,87,67,65.9,8.5
I,87,65,73.4,7.5
I,90,68,64.9,9.5
I,90,67,83.9,8.5
I,91,72,91.4,11.5
I,92,70,80,8.5
I,92,71,85.1,8.5
I,93,74,87.3,10.5
I,93,69,78.6,9.5
I,94,71,99.8,9.5
I,95,72,126.5,9.5
M,95,72,85.7,8.5
I,95,72,98.1,9.5
I,96,74,94.8,10.5
I,96,74,107.2,9.5
M,96,71,92.8,9.5
I,97,75,120.5,8.5
I,98,75,92.3,9.5
I,98,80,124.8,9.5
I,99,74,94.3,9.5
I,99,80,120.4,9.5
I,100,80,123.2,9.5
I,100,78,119.1,9.5
I,100,75,111.8,10.5
I,102,79,120.5,8.5
F,103,75,121.3,7.5
I,103,72,94.5,10.5
I,103,70,94.9,11.5
I,103,79,132.7,9.5
I,103,78,114.1,9.5
I,104,82,129.2,10.5
I,104,78,110.9,8.5
M,105,83,169,9.5
I,105,78,132.8,10.5
I,105,76,123,9.5
I,105,80,130.8,8.5
M,105,80,141.4,10.5
I,106,84,119.3,8.5
I,106,86,125.1,11.5
I,106,80,111,10.5
I,106,84,167.3,12.5
I,107,80,131.4,8.5
I,108,86,167.2,10.5
I,108,85,148.4,10.5
I,108,86,163.9,10.5
M,108,91,194.4,11.5
I,108,84,125.5,10.5
I,108,85,144.1,11.5
I,108,85,137.2,9.5
I,109,80,137.2,10.5
I,109,75,108.6,9.5
I,109,84,143.4,9.5
M,110,87,152.5,11.5
I,110,85,127.8,10.5
I,110,84,163.2,13.5
I,110,83,156.3,9.5
I,110,85,153.3,9.5
I,111,79,111.7,10.5
I,111,87,153,9.5
I,111,92,180.1,12.5
I,112,89,164.5,11.5
I,112,88,144.7,9.5
M,112,85,169.8,11.5
I,113,84,148.6,10.5
F,113,88,172.6,10.5
M,113,88,160.4,10.5
M,113,86,166.2,11.5
F,114,90,156.1,9.5
M,114,90,159,10.5
I,114,87,169.6,10.5
I,114,86,166.6,11.5
I,114,89,173.4,10.5
I,114,89,148.1,13.5
M,115,91,173.4,9.5
I,115,85,159.3,11.5
F,115,94,223.2,11.5
I,115,90,156,10.5
M,115,94,197,11.5
F,115,93,199.3,9.5
I,115,89,160.3,10.5
I,115,90,161.4,11.5
F,115,87,206.1,9.5
M,115,89,167.8,10.5
M,115,88,192.3,14.5
F,116,87,166.8,9.5
M,116,92,206.7,11.5
M,116,86,159.6,11.5
I,116,89,141.9,10.5
F,117,89,182.6,11.5
M,118,98,241.4,11.5
I,118,90,204.4,11.5
I,118,92,180.3,12.5
F,119,87,180,9.5
M,119,90,167.6,11.5
M,119,90,191.8,11.5
I,119,92,166.7,9.5
F,120,92,194.7,9.5
F,120,95,226,10.5
M,120,96,183.3,10.5
I,120,96,183.5,9.5
F,120,96,212.9,11.5
M,120,94,211.8,10.5
M,120,94,238.8,11.5
F,121,91,195.5,10.5
M,121,95,176.8,9.5
I,121,94,160.5,10.5
F,121,96,198.2,9.5
F,121,94,194.8,10.5
F,121,101,286.8,12.5
M,122,95,196.6,11.5
F,122,93,214.5,11.5
F,122,97,248.1,13.5
M,122,94,204.4,10.5
F,122,95,223.1,11.5
I,122,93,184.5,10.5
M,122,94,223.7,10.5
F,122,97,255.9,8.5
M,123,94,203.5,11.5
M,123,95,244.8,10.5
I,124,97,230.8,13.5
F,124,103,265.1,13.5
M,124,103,244.2,14.5
F,124,108,227.8,12.5
I,124,98,213.2,12.5
F,124,96,244.3,13.5
I,124,94,171.3,10.5
I,124,90,184.8,11.5
M,124,96,253.2,13.5
F,124,96,208.1,10.5
M,125,98,223.3,12.5
M,125,95,216.9,11.5
M,125,100,219.7,10.5
I,125,94,239.1,13.5
F,125,97,272.4,11.5
I,125,97,208.8,10.5
M,126,101,218.3,10.5
F,126,100,239.3,9.5
M,126,98,234.9,12.5
M,126,97,246.6,11.5
M,126,99,253.9,12.5
I,127,100,297.8,14.5
M,127,100,286.9,13.5
F,127,98,248.7,11.5
F,127,98,252.3,10.5
F,128,101,244.7,11.5
M,128,103,249.4,11.5
M,128,105,341.4,12.5
M,129,101,232.1,11.5
M,129,100,257.2,13.5
M,129,100,311.9,15.5
M,129,102,294.9,10.5
M,129,102,245.2,11.5
M,129,102,266,10.5
F,129,102,248.3,10.5
M,129,100,267.5,11.5
F,129,102,272.6,11.5
M,129,97,244.3,10.5
F,129,96,274.2,13.5
F,130,99,267.4,10.5
M,130,101,254.8,12.5
M,130,105,297.6,12.5
M,130,102,276.7,10.5
M,131,110,254.8,11.5
F,131,102,208.6,10.5
F,131,101,269.7,13.5
F,131,101,288.1,12.5
M,132,100,263.9,10.5
F,132,107,303.5,13.5
M,132,106,310.1,11.5
M,132,102,327.5,15.5
M,133,105,288.6,12.5
M,133,101,257.8,12.5
F,133,101,258.3,12.5
M,133,104,274.5,13.5
M,133,100,259.5,10.5
M,134,101,251.7,13.5
M,134,104,278,12.5
F,134,104,264,14.5
F,134,110,313.2,11.5
F,134,108,323.8,12.5
M,135,105,256.7,14.5
F,135,102,276.4,11.5
M,136,104,290.7,11.5
F,136,102,321.5,12.5
M,137,104,274.7,12.5
F,137,113,327.6,12.5
F,138,110,313.8,13.5
M,140,113,371.3,11.5
F,140,107,354.6,16.5
F,141,109,316,12.5
M,142,115,401.8,12.5
F,142,114,396.1,13.5
F,142,108,316.1,11.5
M,142,112,403,12.5
M,144,114,365.5,11.5
M,144,110,425,14.5
F,144,105,289,8.5
F,145,113,428.5,15.5
F,146,112,388.5,12.5
M,147,118,349.4,12.5
F,148,113,423.8,13.5
F,150,113,387.6,12.5
M,150,119,444.1,13.5
M,154,124,503.1,13.5
M,155,126,555.9,13.5
I,55,35,46.3,6.5
I,75,49,78.8,7.5
F,75,54,119.4,8.5
M,78,56,112.8,8.5
I,87,60,119.3,9.5
M,89,64,82.8,8.5
I,91,67,84.4,7.5
I,91,65,164,9.5
I,91,69,86.8,9.5
I,93,65,152.3,11.5
M,93,72,115.9,8.5
I,97,73,104.1,9.5
M,97,74,193.6,10.5
I,97,69,173.8,10.5
F,98,71,175.9,9.5
M,100,74,212.3,10.5
M,103,70,184.5,10.5
M,103,79,201.4,9.5
M,105,73,192.1,11.5
M,105,76,130,8.5
M,106,82,150.9,9.5
F,107,85,154.2,9.5
I,107,77,216.7,9.5
I,109,84,178.7,9.5
F,109,83,271.6,11.5
F,109,77,223.7,10.5
F,110,76,241,11.5
M,110,84,268.1,11.5
M,114,91,204,10.5
M,115,88,205,11.5
I,115,90,162.9,11.5
F,116,86,296,11.5
M,117,91,190.6,11.5
I,117,90,178.3,9.5
M,120,99,260.1,12.5
M,120,93,207.6,10.5
M,121,95,250.5,10.5
M,121,95,230,11.5
F,122,95,222.7,12.5
F,123,91,223.1,11.5
M,124,94,217.3,11.5
M,125,99,250.8,10.5
M,125,98,233.8,12.5
M,127,99,234.4,12.5
F,127,95,236.9,11.5
F,128,95,214.5,9.5
M,129,100,276.3,10.5
M,130,105,322.5,12.5
M,130,97,347.9,11.5
F,131,104,309.5,10.5
M,131,109,284.9,11.5
F,133,103,268.1,12.5
F,135,106,289.3,11.5
F,137,107,316.9,10.5
F,139,110,335.8,11.5
M,139,106,345.2,12.5
F,141,109,307.9,14.5
F,144,110,414.6,10.5
M,144,112,317.3,12.5
M,146,115,413.8,12.5
I,37,27,5.4,6.5
I,48,36,11.1,5.5
I,62,43,25.5,8.5
I,68,52,37.7,7.5
I,70,53,40,8.5
I,73,54,39.4,7.5
I,73,55,44.6,8.5
I,73,54,44.3,7.5
I,78,62,53.3,9.5
I,81,60,53.8,7.5
I,82,63,56.1,8.5
I,82,67,66.1,8.5
I,83,62,56.3,7.5
I,83,62,56.1,7.5
I,83,62,62.2,9.5
I,84,65,73.6,12.5
I,86,68,68.1,9.5
I,87,67,64.9,8.5
I,87,66,76,8.5
I,87,66,67,9.5
I,87,69,64.3,8.5
I,89,66,71.6,9.5
I,93,74,89,8.5
I,94,75,97.4,9.5
I,95,68,90.7,10.5
I,97,77,113.6,8.5
I,97,72,103.1,9.5
I,97,74,91.4,10.5
I,99,76,101.9,9.5
I,99,76,100,9.5
I,99,75,98.8,9.5
I,100,76,112.1,10.5
I,101,81,119.8,12.5
I,101,80,140.9,9.5
F,102,80,140.1,11.5
I,103,83,142.5,11.5
I,103,84,134.5,11.5
M,103,77,115.7,9.5
I,104,82,103.7,9.5
I,104,83,127.5,10.5
I,104,79,116.1,10.5
I,104,76,132.9,8.5
I,104,77,116.2,11.5
I,105,83,119.2,10.5
I,105,81,139.3,9.5
I,105,80,121.9,10.5
I,106,86,135.4,9.5
I,106,86,144.9,10.5
I,106,79,115,10.5
I,106,81,126.4,10.5
I,107,91,200.3,10.5
F,108,85,189.1,10.5
I,108,79,131.1,10.5
I,108,78,125.1,9.5
I,109,85,162.9,11.5
I,109,86,137.4,10.5
I,110,87,159.9,11.5
I,110,90,160.8,7.5
M,111,87,149.9,9.5
M,111,82,119.8,9.5
M,111,80,141.5,8.5
I,111,90,147.6,10.5
M,111,91,167.4,10.5
I,112,89,166.4,10.5
F,113,89,166.1,12.5
M,113,83,133.4,8.5
M,113,91,187.1,12.5
I,113,87,168.9,10.5
M,113,90,179,10.5
I,113,92,174.3,11.5
M,114,92,200.1,12.5
M,114,91,166.4,12.5
M,114,88,188.3,10.5
M,114,83,176,14.5
F,114,88,160.6,10.5
M,115,90,157,10.5
M,115,90,195.3,10.5
M,115,87,198.4,11.5
M,115,91,202.6,12.5
M,115,89,175.2,11.5
F,115,93,219.8,10.5
I,115,90,174.3,11.5
I,115,90,164.9,12.5
F,115,86,159.1,10.5
M,115,95,171.4,10.5
F,116,90,165.3,10.5
F,116,100,185,11.5
M,116,88,209.3,11.5
I,116,88,158.1,11.5
M,116,88,165.9,10.5
M,119,91,177.2,11.5
F,120,94,194,12.5
M,120,92,236.1,12.5
M,120,95,198,11.5
F,120,93,226.6,12.5
I,121,98,214.2,11.5
F,121,91,172.4,10.5
M,121,94,223.1,11.5
M,122,96,206.2,9.5
F,122,92,223.7,11.5
F,122,92,191.4,9.5
F,122,94,235.7,12.5
M,123,94,205.7,12.5
M,123,94,217.5,10.5
F,123,99,251,13.5
M,123,99,243.8,11.5
M,124,98,207,12.5
M,124,98,239,10.5
F,124,99,212.4,12.5
M,124,99,302.9,16.5
M,124,94,261.8,10.5
M,124,97,205.9,13.5
M,125,99,209.7,12.5
M,125,103,266.2,10.5
M,125,101,231.3,11.5
F,125,89,218,12.5
F,125,104,270.8,12.5
F,125,94,196.8,12.5
M,126,98,250.5,10.5
F,127,97,253.9,12.5
F,127,104,268.1,12.5
F,127,101,257.9,12.5
M,127,105,239,13.5
M,127,100,254.6,13.5
M,127,103,245.8,11.5
M,128,106,237.9,12.5
F,128,96,222.9,11.5
F,128,103,262.3,11.5
I,128,98,220,11.5
M,128,98,225.7,10.5
F,128,97,283.9,12.5
F,129,102,323.9,13.5
M,129,98,264,12.5
F,129,104,310.7,17.5
I,130,104,247.6,11.5
F,130,102,237.8,14.5
F,130,102,275,11.5
F,131,103,282.4,12.5
F,131,105,269.6,11.5
M,131,104,228.9,10.5
F,132,107,288.3,11.5
M,132,102,243.6,12.5
F,133,100,249.5,11.5
M,133,103,253.9,13.5
M,133,105,285.8,13.5
F,134,106,280.3,13.5
M,135,103,262.4,12.5
F,135,102,294.6,12.5
M,136,108,324.6,13.5
M,136,108,306.8,11.5
M,137,107,276.9,11.5
M,138,110,338.3,12.5
M,139,109,314.3,14.5
F,140,115,354.6,14.5
M,140,110,288.1,13.5
M,140,110,324.9,14.5
F,141,107,373.2,11.5
F,144,115,334.1,13.5
M,144,113,416.2,12.5
F,145,114,323.9,12.5
F,150,110,366.5,12.5
M,152,121,434.6,14.5
I,27,26,5.8,5.5
I,32,22,3.9,5.5
I,42,30,9.3,6.5
I,56,42,23.9,7.5
I,56,40,17.9,8.5
I,57,43,18.7,7.5
I,58,42,22.3,6.5
I,58,42,23.9,7.5
I,58,42,19.4,7.5
I,64,48,26.6,7.5
I,65,50,34.9,8.5
I,67,50,33.9,7.5
I,70,47,34,8.5
I,70,50,32.1,7.5
I,71,54,54.2,10.5
I,72,54,43.7,7.5
I,72,54,39.2,8.5
I,75,56,45.2,7.5
I,75,55,44,8.5
I,79,58,60,8.5
I,81,50,57.5,8.5
I,83,65,63.2,9.5
I,85,63,73.5,8.5
I,86,64,73.5,9.5
I,87,65,69.2,8.5
M,90,66,99.1,9.5
I,92,70,93.5,8.5
M,94,73,104.4,11.5
I,94,75,88.2,11.5
I,95,73,103.7,9.5
M,101,78,130.6,10.5
M,101,79,118.3,13.5
M,101,77,96.5,11.5
I,102,91,137.1,10.5
M,103,80,126.7,10.5
M,105,82,137.5,10.5
F,106,86,148.2,10.5
F,106,81,127.1,10.5
M,109,88,167.9,12.5
F,110,94,184.1,11.5
F,112,82,164.3,10.5
M,113,89,185.1,10.5
